Employee_ID,Department,Gender,Age,Salary,Training_Hours,Performance_Rating,Overtime_Ratio,Status,Hire_Date
EMP1120,HR,Non-binary,23,130000,25,3.4,0.32,Active,2018-08-26
EMP1121,Marketing,Female,53,80000,17,1.7,0.01,Resigned,2025-04-13
EMP1122,Product,Male,40,80000,20,2.5,0.34,Active,2015-07-10
EMP1123,Sales,Non-binary,39,80000,48,4.8,0.46,Resigned,2016-10-04
EMP1124,Product,Non-binary,36,80000,50,4.3,0.48,Active,2016-04-18
EMP1125,Engineering,Male,27,110000,40,4.1,0.2,Active,2019-08-07
EMP1126,Product,Male,59,100000,18,1.7,0.11,Active,2022-02-28
EMP1127,Engineering,Female,55,130000,46,3.8,0.15,Resigned,2016-04-24
EMP1128,Product,Non-binary,46,120000,19,1.1,0.26,Active,2021-09-13
EMP1129,Product,Female,43,110000,37,4.6,0.48,Active,2020-03-06
EMP1130,HR,Male,34,90000,47,4.5,0.26,Active,2021-06-14
EMP1131,Product,Female,38,110000,16,2.3,0.39,Active,2023-04-10
EMP1132,Engineering,Male,37,100000,44,5.0,0.38,Resigned,2020-09-20
EMP1133,Product,Female,49,100000,17,1.7,0.39,Active,2018-06-27
EMP1134,HR,Non-binary,25,90000,11,1.4,0.3,Active,2018-07-16
EMP1135,Marketing,Male,30,140000,40,3.9,0.37,Resigned,2024-02-19
EMP1136,Sales,Female,29,150000,21,2.7,0.15,Active,2025-10-20
EMP1137,Sales,Non-binary,50,130000,33,2.8,0.25,Active,2019-05-26
EMP1138,Product,Female,42,80000,32,2.3,0.2,Active,2017-11-01
EMP1139,Sales,Non-binary,48,80000,39,4.7,0.2,Active,2022-04-18
EMP1140,Engineering,Male,47,70000,22,2.1,0.07,Resigned,2024-02-10
EMP1141,HR,Female,27,80000,35,2.5,0.25,Resigned,2017-08-19
EMP1142,Product,Male,31,150000,44,4.0,0.43,Resigned,2016-11-01
EMP1143,Product,Female,46,110000,41,4.6,0.2,Active,2016-07-16
EMP1144,Marketing,Non-binary,26,110000,26,2.2,0.33,Active,2019-09-21
EMP1145,HR,Male,35,150000,16,1.3,0.39,Active,2022-04-12
EMP1146,Marketing,Female,60,130000,28,2.6,0.07,Resigned,2018-12-10
EMP1147,Sales,Male,32,100000,37,3.4,0.22,Active,2020-08-20
EMP1148,Engineering,Female,41,80000,13,1.0,0.08,Active,2023-11-09
EMP1149,Engineering,Non-binary,53,100000,31,2.2,0.16,Resigned,2022-01-28
EMP1150,Sales,Non-binary,28,110000,24,3.2,0.22,Resigned,2025-11-03
EMP1151,Product,Male,44,150000,43,3.7,0.17,Resigned,2023-07-22
EMP1152,Product,Male,25,90000,37,3.8,0.13,Active,2020-07-07
EMP1153,HR,Female,39,100000,33,4.3,0.1,Resigned,2018-09-27
EMP1154,Sales,Male,26,90000,24,1.7,0.28,Resigned,2020-07-10
EMP1155,Product,Non-binary,29,90000,10,0.2,0.19,Active,2024-12-10
EMP1156,Sales,Female,51,80000,33,3.4,0.48,Active,2015-10-21
EMP1157,Sales,Male,36,70000,28,2.6,0.4,Resigned,2015-06-23
EMP1158,HR,Non-binary,59,100000,18,1.4,0.16,Active,2020-06-10
EMP1159,Sales,Non-binary,38,80000,42,3.3,0.15,Active,2023-02-16
EMP1160,Sales,Non-binary,26,130000,28,2.0,0.2,Resigned,2018-09-11
EMP1161,Marketing,Female,59,120000,32,2.5,0.22,Active,2025-10-21
EMP1162,HR,Non-binary,47,90000,37,2.7,0.45,Active,2025-03-23
EMP1163,Sales,Non-binary,33,130000,33,3.3,0.11,Active,2017-05-07
EMP1164,Engineering,Female,22,120000,10,1.0,0.48,Resigned,2017-09-02
EMP1165,Marketing,Male,41,130000,21,2.2,0.28,Resigned,2019-06-02
EMP1166,Marketing,Female,39,140000,25,1.9,0.06,Active,2017-07-07
EMP1167,Sales,Non-binary,28,130000,18,2.2,0.13,Resigned,2018-11-02
EMP1168,Engineering,Female,44,100000,14,0.5,0.25,Active,2015-11-28
EMP1169,Marketing,Non-binary,47,110000,25,1.7,0.2,Resigned,2024-05-21
EMP1170,Sales,Non-binary,44,120000,12,0.2,0.03,Active,2024-08-26
EMP1171,Marketing,Male,58,100000,30,3.4,0.03,Active,2023-06-08
EMP1172,HR,Female,52,140000,38,4.0,0.15,Active,2025-10-15
EMP1173,Product,Male,38,120000,29,3.9,0.04,Resigned,2015-12-20
EMP1174,Marketing,Female,55,140000,12,1.1,0.1,Active,2024-04-28
EMP1175,Product,Male,53,80000,41,4.1,0.02,Active,2021-09-20
EMP1176,Marketing,Male,48,100000,28,2.4,0.06,Active,2022-03-22
EMP1177,Engineering,Male,53,110000,14,2.2,0.07,Resigned,2018-10-04
EMP1178,Sales,Non-binary,35,120000,28,3.6,0.17,Active,2019-05-27
EMP1179,Marketing,Non-binary,31,120000,21,2.3,0.08,Resigned,2016-12-19
EMP1180,Marketing,Female,48,150000,46,5.0,0.28,Active,2021-03-24
EMP1181,Product,Male,41,130000,27,2.2,0.14,Active,2024-12-20
EMP1182,Engineering,Female,56,130000,18,2.3,0.42,Active,2020-02-12
EMP1183,HR,Female,56,100000,16,0.8,0.03,Active,2020-12-11
EMP1184,HR,Female,34,120000,50,4.3,0.18,Active,2024-05-13
EMP1185,Marketing,Non-binary,57,120000,13,2.1,0.08,Resigned,2019-11-27
EMP1186,Product,Female,45,140000,42,3.3,0.38,Resigned,2022-03-26
EMP1187,Sales,Female,49,90000,30,3.6,0.22,Active,2016-04-03
EMP1188,Marketing,Male,43,140000,46,5.0,0.25,Resigned,2022-02-10
EMP1189,HR,Non-binary,28,100000,19,2.8,0.36,Active,2025-07-02
EMP1190,Engineering,Male,51,120000,25,3.2,0.24,Active,2018-02-01
EMP1191,Engineering,Non-binary,25,100000,22,2.0,0.48,Resigned,2019-02-12
EMP1192,Product,Non-binary,22,90000,19,1.1,0.17,Active,2024-05-07
EMP1193,HR,Non-binary,38,80000,44,5.0,0.25,Active,2017-07-24
EMP1194,Product,Female,27,140000,12,0.4,0.27,Resigned,2015-11-09
EMP1195,Sales,Male,51,130000,30,2.3,0.16,Active,2023-03-24
EMP1196,Engineering,Male,38,100000,47,4.3,0.23,Resigned,2015-01-15
EMP1197,HR,Non-binary,26,70000,15,1.0,0.26,Active,2020-12-22
EMP1198,Engineering,Male,51,80000,28,2.8,0.12,Active,2022-12-08
EMP1199,Product,Non-binary,53,140000,34,3.7,0.38,Resigned,2023-02-03
EMP1200,Engineering,Male,43,100000,37,4.1,0.31,Active,2020-12-23
EMP1201,Marketing,Non-binary,51,80000,36,2.8,0.27,Active,2021-05-16
EMP1202,Engineering,Female,41,70000,47,3.7,0.26,Active,2024-08-21
EMP1203,Sales,Non-binary,27,70000,11,0.6,0.33,Resigned,2020-11-12
EMP1204,Product,Male,43,120000,18,1.2,0.24,Active,2024-02-02
EMP1205,Marketing,Male,47,80000,39,3.5,0.08,Active,2023-11-13
EMP1206,Engineering,Female,46,120000,44,3.8,0.4,Active,2020-08-08
EMP1207,Engineering,Male,33,140000,20,2.5,0.33,Resigned,2023-07-16
EMP1208,HR,Female,26,110000,11,1.8,0.04,Resigned,2019-09-07
EMP1209,Marketing,Non-binary,48,130000,25,2.7,0.16,Resigned,2022-03-22
EMP1210,Engineering,Male,31,150000,13,2.2,0.35,Resigned,2020-01-19
EMP1211,Product,Male,26,130000,21,2.6,0.14,Active,2025-09-13
EMP1212,Marketing,Non-binary,59,130000,48,4.2,0.49,Resigned,2015-09-08
EMP1213,Product,Female,56,120000,36,3.1,0.45,Active,2018-11-02
EMP1214,HR,Female,43,150000,47,5.0,0.19,Resigned,2022-02-02
EMP1215,HR,Male,57,120000,11,1.1,0.28,Resigned,2018-11-17
EMP1216,HR,Non-binary,29,140000,11,1.2,0.26,Active,2019-10-24
EMP1217,Marketing,Female,24,150000,21,1.9,0.24,Active,2024-06-18
EMP1218,HR,Female,56,120000,23,2.0,0.32,Active,2024-08-06
EMP1219,HR,Non-binary,39,70000,37,3.9,0.03,Active,2015-01-16
EMP1220,Product,Non-binary,50,130000,26,2.6,0.16,Active,2021-12-03
EMP1221,Engineering,Non-binary,24,130000,11,0.4,0.21,Resigned,2016-08-22
EMP1222,Product,Female,58,100000,37,3.5,0.08,Active,2025-06-14
EMP1223,Product,Female,29,110000,47,5.0,0.21,Active,2016-09-28
EMP1224,Engineering,Male,30,130000,12,0.9,0.39,Active,2018-08-24
EMP1225,Sales,Female,35,150000,30,2.9,0.5,Active,2023-09-15
EMP1226,Marketing,Female,60,130000,22,1.7,0.04,Active,2019-10-16
EMP1227,Sales,Female,49,120000,28,2.9,0.19,Active,2022-03-07
EMP1228,Sales,Non-binary,38,120000,49,4.8,0.18,Active,2023-07-06
EMP1229,Engineering,Non-binary,51,120000,15,2.5,0.18,Active,2016-11-02
EMP1230,Sales,Male,29,80000,17,1.8,0.05,Active,2017-11-04
EMP1231,Sales,Non-binary,32,140000,27,2.2,0.48,Active,2019-08-14
EMP1232,Product,Male,30,80000,24,2.1,0.07,Active,2016-04-27
EMP1233,Marketing,Male,47,80000,21,2.9,0.05,Active,2023-08-21
EMP1234,Engineering,Non-binary,38,110000,34,4.0,0.27,Active,2020-06-05
EMP1235,Marketing,Female,40,140000,42,5.0,0.11,Active,2020-05-12
EMP1236,Product,Male,53,90000,48,5.0,0.42,Resigned,2020-11-28
EMP1237,Product,Non-binary,37,80000,46,5.0,0.28,Resigned,2020-01-20
EMP1238,HR,Female,59,80000,28,3.7,0.47,Active,2018-02-02
EMP1239,Product,Female,35,80000,47,5.0,0.24,Active,2023-11-04
EMP1240,Product,Non-binary,22,90000,33,3.6,0.0,Resigned,2018-11-12
EMP1241,Marketing,Non-binary,48,80000,32,2.8,0.21,Active,2020-12-19
EMP1242,Product,Female,49,150000,50,4.4,0.13,Active,2017-08-16
EMP1243,Marketing,Male,42,120000,12,1.8,0.16,Active,2017-01-03
EMP1244,Sales,Female,32,130000,10,0.9,0.33,Active,2018-03-20
EMP1245,Marketing,Non-binary,36,90000,24,2.5,0.19,Active,2016-10-25
EMP1246,Engineering,Male,24,70000,41,4.3,0.19,Active,2020-11-06
EMP1247,HR,Non-binary,36,110000,20,2.9,0.47,Resigned,2015-04-15
EMP1248,Marketing,Female,40,130000,35,3.9,0.49,Active,2015-12-05
EMP1249,HR,Non-binary,46,90000,39,4.8,0.12,Resigned,2019-07-17
EMP1250,Product,Male,41,100000,31,4.0,0.28,Active,2020-10-20
EMP1251,Sales,Male,42,80000,43,5.0,0.15,Active,2022-04-01
EMP1252,Marketing,Male,40,120000,32,3.4,0.01,Active,2017-12-07
EMP1253,Marketing,Male,49,100000,34,3.8,0.04,Active,2024-03-14
EMP1254,Engineering,Male,50,100000,17,0.7,0.09,Active,2015-10-13
EMP1255,Engineering,Male,57,100000,16,2.3,0.49,Active,2021-12-20
EMP1256,Marketing,Non-binary,60,120000,16,0.9,0.04,Resigned,2022-09-07
EMP1257,Marketing,Non-binary,58,100000,31,2.4,0.21,Resigned,2015-05-23
EMP1258,Engineering,Female,31,70000,20,2.7,0.11,Resigned,2020-05-20
EMP1259,Engineering,Male,48,80000,30,4.0,0.07,Active,2019-05-21
EMP1260,Product,Male,22,90000,46,5.0,0.44,Resigned,2016-06-25
EMP1261,Product,Male,35,90000,31,4.0,0.26,Resigned,2015-04-22
EMP1262,Engineering,Male,27,100000,26,3.1,0.15,Resigned,2024-07-07
EMP1263,Sales,Non-binary,41,80000,37,4.0,0.39,Active,2018-04-22
EMP1264,Sales,Non-binary,40,140000,15,1.8,0.29,Resigned,2021-09-07
EMP1265,Engineering,Non-binary,58,80000,28,2.2,0.23,Active,2020-07-24
EMP1266,Marketing,Female,30,90000,49,5.0,0.22,Active,2017-09-05
EMP1267,Engineering,Female,54,100000,39,4.5,0.35,Active,2015-07-16
EMP1268,Marketing,Male,38,130000,41,4.6,0.35,Resigned,2025-01-18
EMP1269,Marketing,Female,31,150000,45,3.8,0.4,Active,2023-09-05
EMP1270,Sales,Female,27,120000,19,2.6,0.35,Active,2024-11-07
EMP1271,Sales,Male,47,150000,13,0.8,0.23,Active,2015-11-11
EMP1272,Product,Male,37,110000,30,2.5,0.07,Active,2024-07-18
EMP1273,Engineering,Male,31,80000,48,5.0,0.39,Active,2020-02-27
EMP1274,Product,Non-binary,34,150000,22,2.9,0.32,Active,2024-01-04
EMP1275,Product,Non-binary,24,70000,20,1.5,0.15,Active,2024-05-01
EMP1276,Sales,Female,53,80000,27,3.4,0.18,Active,2017-03-08
EMP1277,HR,Male,57,80000,11,1.5,0.29,Active,2022-10-16
EMP1278,HR,Female,33,90000,33,3.1,0.37,Resigned,2025-12-03
EMP1279,Sales,Female,33,150000,50,4.7,0.28,Active,2017-05-12
EMP1280,HR,Non-binary,58,70000,32,2.5,0.07,Resigned,2017-02-05
EMP1281,Marketing,Non-binary,36,100000,47,4.6,0.35,Resigned,2018-11-22
EMP1282,Marketing,Non-binary,56,130000,16,0.8,0.37,Active,2024-10-16
EMP1283,Product,Male,25,140000,14,0.6,0.18,Active,2018-06-10
EMP1284,Product,Male,38,110000,18,2.7,0.04,Active,2017-07-21
EMP1285,Sales,Male,55,110000,12,0.3,0.12,Active,2021-09-21
EMP1286,HR,Female,45,90000,18,1.9,0.31,Active,2016-03-20
EMP1287,Marketing,Non-binary,28,100000,13,1.7,0.27,Active,2021-04-04
EMP1288,Engineering,Non-binary,36,150000,18,1.4,0.19,Active,2020-01-16
EMP1289,Sales,Female,47,70000,50,5.0,0.12,Active,2019-06-03
EMP1290,Product,Non-binary,36,90000,38,3.6,0.26,Active,2021-06-19
EMP1291,Engineering,Male,54,130000,21,2.7,0.01,Active,2023-02-01
EMP1292,Product,Female,49,110000,36,2.9,0.39,Active,2018-11-27
EMP1293,Product,Female,58,120000,20,2.7,0.03,Resigned,2022-05-05
EMP1294,Sales,Non-binary,23,90000,40,4.0,0.24,Active,2015-01-28
EMP1295,Engineering,Non-binary,55,80000,26,2.7,0.28,Resigned,2023-07-10
EMP1296,Product,Male,54,70000,28,2.7,0.07,Active,2017-03-10
EMP1297,Product,Non-binary,26,80000,25,1.8,0.07,Resigned,2015-09-17
EMP1298,Engineering,Female,56,80000,27,3.1,0.21,Resigned,2017-07-27
EMP1299,HR,Female,45,90000,19,1.6,0.17,Resigned,2015-01-07
EMP1300,Sales,Male,45,70000,28,3.4,0.33,Active,2021-03-22
EMP1301,Sales,Female,39,80000,29,3.3,0.44,Active,2015-09-22
EMP1302,Marketing,Non-binary,58,110000,11,1.7,0.11,Resigned,2022-03-24
EMP1303,Product,Non-binary,45,120000,43,4.3,0.2,Active,2017-12-19
EMP1304,Sales,Male,51,140000,12,0.5,0.31,Active,2016-07-02
EMP1305,Product,Male,45,120000,43,3.8,0.26,Resigned,2015-06-17
EMP1306,Marketing,Male,43,110000,48,5.0,0.13,Active,2022-06-12
EMP1307,Marketing,Non-binary,38,70000,11,1.4,0.01,Active,2024-07-22
EMP1308,HR,Female,25,90000,24,2.2,0.31,Resigned,2025-08-16
EMP1309,HR,Non-binary,32,70000,46,5.0,0.06,Resigned,2019-01-13
EMP1310,Engineering,Male,23,70000,46,5.0,0.14,Active,2016-09-28
EMP1311,HR,Non-binary,28,70000,17,2.1,0.29,Active,2016-05-27
EMP1312,Product,Non-binary,48,150000,16,1.5,0.34,Active,2024-01-08
EMP1313,Product,Male,22,80000,10,0.0,0.46,Active,2024-11-06
EMP1314,Engineering,Non-binary,38,140000,13,0.9,0.31,Active,2017-12-02
EMP1315,Marketing,Male,26,80000,14,1.0,0.19,Active,2015-01-15
EMP1316,Engineering,Male,46,130000,12,2.1,0.31,Resigned,2018-12-19
EMP1317,Marketing,Male,54,80000,24,3.4,0.37,Resigned,2023-08-14
EMP1318,Engineering,Female,35,140000,33,4.2,0.15,Active,2019-02-19
EMP1319,Marketing,Non-binary,33,140000,30,2.6,0.3,Active,2022-01-25
EMP1320,Product,Non-binary,57,100000,23,1.9,0.07,Active,2025-12-10
EMP1321,Sales,Female,46,90000,18,2.2,0.43,Active,2025-12-16
EMP1322,Sales,Non-binary,36,110000,42,4.3,0.19,Active,2017-02-07
EMP1323,Marketing,Female,36,80000,38,2.9,0.31,Active,2015-02-07
EMP1324,Engineering,Non-binary,53,130000,12,1.2,0.19,Resigned,2019-12-06
EMP1325,Marketing,Female,60,70000,20,1.3,0.19,Resigned,2021-07-02
EMP1326,Engineering,Female,52,120000,37,4.1,0.28,Active,2019-03-03
EMP1327,Sales,Male,33,70000,26,3.3,0.12,Active,2018-11-01
EMP1328,HR,Male,37,100000,23,1.9,0.2,Resigned,2015-10-09
EMP1329,HR,Male,54,90000,40,4.7,0.17,Active,2015-08-06
EMP1330,Sales,Male,40,150000,38,4.5,0.35,Active,2022-09-15
EMP1331,Marketing,Male,34,120000,11,0.9,0.01,Resigned,2017-01-08
EMP1332,HR,Male,58,80000,13,0.4,0.24,Active,2021-03-07
EMP1333,HR,Non-binary,24,70000,32,3.4,0.46,Resigned,2020-06-28
EMP1334,Marketing,Non-binary,26,130000,15,1.1,0.36,Active,2025-03-11
EMP1335,HR,Female,56,130000,15,1.8,0.25,Active,2018-04-11
EMP1336,Sales,Female,50,70000,20,2.5,0.37,Active,2018-03-08
EMP1337,Marketing,Female,26,100000,19,2.0,0.37,Active,2021-11-19
EMP1338,Marketing,Non-binary,38,120000,35,3.0,0.32,Resigned,2022-11-10
EMP1339,Engineering,Male,43,120000,42,5.0,0.46,Active,2024-07-27
EMP1340,Product,Non-binary,25,70000,38,3.0,0.12,Active,2019-01-12
EMP1341,HR,Female,53,120000,45,4.2,0.08,Active,2024-01-23
EMP1342,Marketing,Male,43,140000,38,3.5,0.03,Active,2020-09-01
EMP1343,Product,Non-binary,46,70000,50,5.0,0.17,Active,2023-04-05
EMP1344,Marketing,Non-binary,48,140000,32,3.9,0.4,Resigned,2017-02-17
EMP1345,Product,Non-binary,59,100000,45,5.0,0.07,Resigned,2020-06-11
EMP1346,Engineering,Female,45,90000,34,3.5,0.23,Active,2019-07-19
EMP1347,Marketing,Female,60,130000,10,1.5,0.22,Active,2021-12-15
EMP1348,HR,Male,42,100000,36,3.5,0.45,Resigned,2016-01-13
